time (s),yaw,pitch,roll,battery,x reading (m),y reading (m),z reading(m),altitude (m),loop rate (Hz),target altitude (m)
7.696,-14.824890678382932,4.2938633798547725,0.028387976886467332,60,0.9368887543678284,1.0566126108169556,0.9210558533668518,0.9229750225625246,288.20889163746307,0.0
7.749,-14.823072567691971,4.25885487682266,-0.01784252513672612,60,0.9324638843536377,1.051412582397461,0.9232589602470398,0.9225465278031006,204.9501099438065,0.0
7.8,-14.820297560915815,4.259469876443662,-0.11890901476497512,60,0.9376761317253113,1.053695559501648,0.9243678450584412,0.9229149463367959,204.9501099438065,0.0
7.85,-14.82157353593897,4.324436242287772,0.06842221816064398,60,0.9384300708770752,1.0534257888793945,0.9221867322921753,0.9225782804391951,204.9501099438065,0.0
7.901,-14.820633386087408,4.139071997180446,-0.13040896210253797,60,0.9396885633468628,1.0551685094833374,0.9237474203109741,0.9231528344419757,204.9501099438065,0.0
7.951,-14.820901770342028,4.342979773230482,-0.06647898694404895,60,0.9495964050292969,1.0583069324493408,0.9235756993293762,0.9233768207053795,204.9501099438065,0.0
8.002,-14.823065777208047,4.224654083571921,-0.21019573821480306,60,0.951439380645752,1.061418056488037,0.9301980137825012,0.9257367312506077,204.9501099438065,0.0
8.052,-14.823208185034453,4.334341778343824,0.030599259632232128,60,0.9509299397468567,1.0579262971878052,0.9343597888946533,0.9302887390857737,204.9501099438065,0.0
8.102,-14.822403925774926,4.313291169867874,-0.05316510355449253,60,0.9538872241973877,1.0535143613815308,0.9358054995536804,0.9331288125039481,204.9501099438065,0.0
8.153,-14.819726588980881,4.304680336121155,-0.01297784966996071,60,0.94914311170578,1.046982765197754,0.9375372529029846,0.9358633427110656,204.9501099438065,0.0
8.203,-14.81968818200667,4.269968794192497,0.02838404177892946,60,0.9510924816131592,1.0501563549041748,0.936690628528595,0.9363763179179782,204.9501099438065,0.0
8.253,-14.820857216823322,4.294392914691017,0.10531518217414834,60,0.9511816501617432,1.0528849363327026,0.9355334639549255,0.9360534100699163,204.9501099438065,0.0
