time (s),yaw,pitch,roll,battery,altitude (m),loop rate (Hz),target altitude (m)
7.707,-24.91155328927021,0.33996430465668903,0.059762847959169106,56,0.6352485912903608,298.6757815281635,0.7266666666666604
7.757,-24.854639422214657,0.28254362596919347,-0.10636344619787286,56,0.6103277101511542,298.6757815281635,0.7183333333333268
7.812,-24.807673370447667,0.2861379732343597,-0.10906053390889991,56,0.5666030247964419,298.6757815281635,0.7049999999999932
7.868,-24.772118757125888,0.36929732567361945,-0.054330237548539634,56,0.5379010282234926,298.6757815281635,0.6933333333333263
7.92,-24.69116196635144,0.3707313263842209,-0.03326910517760441,56,0.5048850570718835,299.743014364325,0.6799999999999926
7.97,-24.600774145830027,0.37211383564128336,0.00405493690483436,56,0.5091773282080255,299.743014364325,0.669166666666659
8.025,-24.467160564155442,0.2711574085892423,0.029900836455462057,56,0.47959363252801585,299.743014364325,0.654999999999992
8.076,-24.332895862206495,0.2958741846450754,0.0741711831840983,56,0.47197922771717793,299.743014364325,0.6424999999999917
8.127,-24.295290238779813,0.4174230382619684,0.0454410739114509,56,0.44969548838569884,299.743014364325,0.6299999999999915
8.179,-24.299480407174684,0.3170357690260568,0.03037993171699026,56,0.42996770770484216,299.743014364325,0.6174999999999912
8.233,-24.31157849354969,0.3410895561301795,0.06161988836294757,56,0.4233886362854975,299.743014364325,0.6041666666666575
8.284,-24.37450785051334,0.322596782851926,0.07173050268288662,56,0.41747934762748495,299.743014364325,0.5924999999999906
8.335,-24.479025255972658,0.46550262380336754,0.06421728690377979,56,0.4077812535057561,299.743014364325,0.5799999999999903
8.386,-24.645421826749665,0.5205913355666517,0.10471404775625252,56,0.40406549865022445,299.743014364325,0.5666666666666567
8.437,-24.879765137945636,0.49039426851101325,0.07528515372019944,56,0.4061305066443213,299.03778696706115,0.5541666666666564
8.491,-25.044109672863833,0.49558820768755907,0.024621152833560714,56,0.4159781079358429,299.03778696706115,0.5424999999999894
8.543,-25.251970704531047,0.44994862289705956,0.030917085641480505,56,0.4226172786009855,299.03778696706115,0.5308333333333225
8.594,-25.4675179429302,0.4265622698614663,-0.05840858556899656,56,0.42904129452009165,299.03778696706115,0.5174999999999889
8.647,-25.66407585263987,0.26245390432621984,-0.08507696112431458,56,0.43455756094141473,299.03778696706115,0.5049999999999886
8.701,-25.806221889346755,0.3641699901894565,-0.06832974378689119,56,0.42568617181482477,299.03778696706115,0.5
8.752,-25.933728203003895,0.4289173458949317,-0.05720023671684052,56,0.4188328853729415,299.03778696706115,0.5
8.804,-26.015237732262687,0.35441769221375213,-0.05611227638880485,56,0.40468492550076757,299.03778696706115,0.5
8.858,-26.020473405559272,0.19392613381293022,-0.07576201358914933,56,0.39772979116133944,299.03778696706115,0.5
8.911,-25.964735072736968,0.020408055519782354,-0.017573926386765963,56,0.3986641419601718,299.03778696706115,0.5
8.962,-25.837866347656128,-0.17160751220168372,-0.005044522131605653,56,0.39169711486175207,299.1230922835544,0.5
9.016,-25.609998879574274,-0.2150201874635514,0.04212388706616117,56,0.37670680383874616,299.1230922835544,0.5
9.067,-25.44564762834966,-0.20379683590532258,0.031685526048557636,56,0.3695527286741226,299.1230922835544,0.5
9.117,-25.230448866867615,-0.20239625845375864,-0.012373082798170443,56,0.3652686207436374,299.1230922835544,0.5
9.168,-25.064646942770647,-0.2664485982307281,0.006590082159231455,56,0.3518937582684202,299.1230922835544,0.5
9.219,-24.857439496513845,-0.16901762276002413,-0.001712767296080637,56,0.35066686825531596,299.1230922835544,0.5
9.271,-24.64796254141981,-0.20191659648148624,0.010810381116280843,56,0.34866746491222245,299.1230922835544,0.5
9.321,-24.38402136494619,-0.13670526146604717,-0.07529333095648662,56,0.33127004957032885,299.1230922835544,0.5
9.372,-24.22460790954744,-0.10741206963622334,-0.08084023293156875,56,0.32681699783531126,299.1230922835544,0.5
9.425,-24.1081314299767,-0.07952557838602896,-0.15273353394340525,56,0.3326959292466792,299.1230922835544,0.5
9.479,-24.073049731332492,-0.052629338012014366,-0.18504682598826616,56,0.32156301520193564,297.80630502698097,0.5
9.533,-24.075378717927396,-0.1407201288305566,-0.1570830608375207,56,0.326975147460794,297.80630502698097,0.5
9.583,-24.122384689214385,-0.06842653752100547,-0.19254947215044663,56,0.3153297799332919,297.80630502698097,0.5
9.638,-24.179354140542777,-0.27785783097549244,-0.14487935463274074,56,0.3167808825624348,297.80630502698097,0.5
9.691,-24.209185914090604,-0.33056791119377504,-0.1599351880975853,56,0.31326065644829926,297.80630502698097,0.5
9.745,-24.275063351829154,-0.3972186794825809,-0.1763473512775246,56,0.31173010028622894,297.80630502698097,0.4949999999999999
9.797,-24.386768442854766,-0.2390883104798341,-0.1891057356939385,56,0.32946785542697227,297.80630502698097,0.48166666666666624
9.851,-24.518495181679672,-0.2719324539498447,-0.2390540426533242,56,0.33567941049426353,297.80630502698097,0.4699999999999993
9.901,-24.732907388107495,-0.24573712353124702,-0.17842750019314182,56,0.3468821735198867,297.80630502698097,0.457499999999999
9.952,-24.95209574365709,-0.45755850791841757,-0.16662079225530374,56,0.35179471065891366,297.80630502698097,0.44499999999999873
10.003,-25.137355558194376,-0.2989058873171271,-0.08937043515546278,56,0.3724466246118944,298.7821627012395,0.43249999999999844
10.053,-25.23450800765426,-0.3998360514526169,-0.13433135300696236,56,0.376089460544207,298.7821627012395,0.41999999999999815
10.107,-25.25577539989538,-0.47073505693034196,-0.1624089560597682,56,0.3902589032759475,298.7821627012395,0.40749999999999786
10.157,-25.21978470290178,-0.2887648063523673,-0.16912421114833098,56,0.38176722088180176,298.7821627012395,0.3949999999999976
10.208,-25.204546880855933,-0.1494113818550539,-0.20904840779523878,56,0.3728629841891803,298.7821627012395,0.3824999999999973
